sample;tokens;tags
юулоска с маком;['▁юу', 'ло', 'ска', '▁с', '▁ма', 'ком'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
шашлвк;['▁шаш', 'лв', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
kapi;['▁kapi'];['B-BRAND']
бадь;['▁ба', 'дь'];['B-TYPE', 'I-TYPE']
кофе monarch растворимый;['▁кофе', '▁monarch', '▁раствор', 'им', 'ый'];['B-TYPE', 'B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кофе американо;['▁кофе', '▁американ', 'о'];['B-TYPE', 'B-TYPE', 'I-TYPE']
пюре детское овощное;['▁пюре', '▁детско', 'е', '▁овощ', 'ное'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
cleando;['▁clean', 'do'];['B-BRAND', 'I-BRAND']
лимонная;['▁лимон', 'ная'];['B-TYPE', 'I-TYPE']
торф;['▁то', 'рф'];['B-TYPE', 'I-TYPE']
скубрия;['▁', 'ску', 'бри', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
семечр;['▁семе', 'ч', 'р'];['B-TYPE', 'I-TYPE', 'I-TYPE']
шароты;['▁шар', 'от', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
минерал;['▁минерал'];['B-TYPE']
греч;['▁гре', 'ч'];['B-TYPE', 'I-TYPE']
сырнички никольс;['▁сыр', 'нички', '▁ни', 'коль', 'с'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
яйцо пере;['▁', 'яй', 'цо', '▁пере'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
паровой;['▁пар', 'овой'];['B-TYPE', 'I-TYPE']
овсная;['▁', 'ов', 'с', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
хлеб традиционный;['▁хлеб', '▁тра', 'ди', 'ционный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
ржаная мука;['▁', 'ржан', 'ая', '▁му', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
твркс;['▁т', 'вр', 'кс'];['B-TYPE', 'I-TYPE', 'I-TYPE']
хлеб московский;['▁хлеб', '▁московск', 'ий'];['B-TYPE', 'B-TYPE', 'I-TYPE']
колбаса престиж;['▁кол', 'баса', '▁престиж'];['B-TYPE', 'I-TYPE', 'B-TYPE']
картошеа;['▁кар', 'то', 'ше', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
персил;['▁пер', 'сил'];['B-BRAND', 'I-BRAND']
хлеб злаки зерна;['▁хлеб', '▁зла', 'ки', '▁', 'зер', 'на'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O']
освежытель;['▁осве', 'жы', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чевабчичи;['▁', 'чева', 'б', 'чи', 'чи'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
цвт;['▁цв', 'т'];['O', 'O']
чеснтк;['▁че', 'с', 'н', 'тк'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сырнички николь;['▁сыр', 'нички', '▁ни', 'коль'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
компот м;['▁комп', 'от', '▁м'];['B-TYPE', 'I-TYPE', 'B-BRAND']
aunfed;['▁a', 'un', 'fed'];['O', 'O', 'O']
манарх;['▁ман', 'арх'];['B-TYPE', 'I-TYPE']
зарядное устройство;['▁заряд', 'ное', '▁устройство'];['B-TYPE', 'I-TYPE', 'B-TYPE']
массажеры электронны;['▁масса', 'же', 'ры', '▁электронны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
nestle же;['▁nest', 'le', '▁же'];['B-BRAND', 'I-BRAND', 'B-TYPE']
kulin;['▁kul', 'in'];['O', 'O']
гуши;['▁гу', 'ши'];['B-TYPE', 'I-TYPE']
vanissh;['▁van', 'is', 'sh'];['B-BRAND', 'I-BRAND', 'I-BRAND']
волого;['▁во', 'лого'];['B-TYPE', 'I-TYPE']
прочие фруктово-овощн;['▁прочие', '▁фр', 'ук', 'то', 'во', '-', 'ово', 'щ', 'н'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
постное печенье;['▁пост', 'ное', '▁пече', 'нь', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
момлко;['▁', 'мом', 'л', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
помидорв;['▁по', 'ми', 'дор', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
аблоки;['▁а', 'блок', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE']
оиздство;['▁о', 'из', 'д', 'ство'];['O', 'O', 'O', 'O']
твордок;['▁твор', 'док'];['B-TYPE', 'I-TYPE']
гранатлвый;['▁гранат', 'лв', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тостер скарле;['▁то', 'стер', '▁с', 'кар', 'ле'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
насадки на швабру;['▁на', 'садки', '▁на', '▁ш', 'ва', 'бру'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
авокадо artfruit;['▁ав', 'ока', 'до', '▁art', 'fru', 'it'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
сгущенный молочный;['▁с', 'гу', 'щен', 'ный', '▁мол', 'очный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
сыруи;['▁сыр', 'у', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE']
майонез ростагроэкспор;['▁май', 'о', 'нез', '▁роста', 'гро', 'эк', 'спор'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
пурин;['▁пу', 'рин'];['B-TYPE', 'I-TYPE']
ботинки ju;['▁', 'бот', 'инки', '▁ju'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
копченое;['▁коп', 'чено', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
индейка тушеная;['▁', 'инде', 'йка', '▁туш', 'е', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
limo;['▁', 'limo'];['B-BRAND', 'I-BRAND']
добродел варено-копчен;['▁добро', 'дел', '▁вар', 'ено', '-', 'коп', 'чен'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
индилалай;['▁инди', 'ла', 'лай'];['B-TYPE', 'I-TYPE', 'I-TYPE']
горица;['▁го', 'рица'];['B-TYPE', 'I-TYPE']
сиртак;['▁сир', 'так'];['B-TYPE', 'I-TYPE']
безалкогол;['▁без', 'ал', 'кого', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
арарат бренд;['▁ара', 'рат', '▁бренд'];['B-BRAND', 'I-BRAND', 'B-TYPE']
чипсы0;['▁чи', 'п', 'сы', '0'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
капуста емк;['▁кап', 'уста', '▁е', 'мк'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
кабачок черкаш;['▁каб', 'а', 'чок', '▁', 'черк', 'аш'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
солфетки;['▁сол', 'фет', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
копчена;['▁коп', 'чена'];['B-TYPE', 'I-TYPE']
ярмарка ну;['▁я', 'рма', 'рка', '▁ну'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
подовы;['▁под', 'овы'];['B-TYPE', 'I-TYPE']
фасоль белая;['▁фа', 'соль', '▁бел', 'ая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
посыпка;['▁по', 'сып', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
йогцрты;['▁й', 'ог', 'ц', 'р', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
брын;['▁бр', 'ын'];['B-TYPE', 'I-TYPE']
сухой корм для кота;['▁сухо', 'й', '▁корм', '▁для', '▁ко', 'та'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'O', 'O', 'O']
копччен;['▁коп', 'ч', 'чен'];['B-TYPE', 'I-TYPE', 'I-TYPE']
спаггети;['▁спа', 'г', 'ге', 'ти'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
овощи свежие;['▁овощ', 'и', '▁свежи', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
творог с голубикой;['▁твор', 'ог', '▁с', '▁голуб', 'и', 'кой'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
пиво старый мель;['▁пиво', '▁стар', 'ый', '▁', 'мель'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
нф степле;['▁н', 'ф', '▁сте', 'пле'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
bingre;['▁bin', 'gre'];['B-BRAND', 'I-BRAND']
coolc;['▁cool', 'c'];['B-BRAND', 'I-BRAND']
зажигалки tesco;['▁за', 'жи', 'гал', 'ки', '▁te', 'sco'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
сливкии;['▁с', 'лив', 'ки', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пергаме;['▁пер', 'га', 'ме'];['B-TYPE', 'I-TYPE', 'I-TYPE']
данис;['▁да', 'нис'];['B-BRAND', 'I-BRAND']
телячьи;['▁', 'теля', 'ч', 'ь', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
котлеты для гамбургера;['▁кот', 'лет', 'ы', '▁для', '▁', 'гам', 'бург', 'ера'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
zentis нуга;['▁zen', 'tis', '▁ну', 'га'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
греческая улитка;['▁гре', 'че', 'ская', '▁у', 'ли', 'тка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
зелень набор;['▁зелен', 'ь', '▁набор'];['B-TYPE', 'I-TYPE', 'B-TYPE']
ласточки;['▁ла', 'сто', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
напитки сокосодержащие;['▁напитки', '▁сок', 'осо', 'держ', 'а', 'щие'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
свечи на торо;['▁све', 'чи', '▁на', '▁то', 'ро'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
globus компо;['▁glob', 'us', '▁комп', 'о'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
хлеб серый;['▁хлеб', '▁се', 'рый'];['B-TYPE', 'B-TYPE', 'I-TYPE']
би;['▁би'];['O']
мсок;['▁м', 'сок'];['B-TYPE', 'I-TYPE']
полукопченые колбаск;['▁полу', 'коп', 'че', 'ные', '▁кол', 'ба', 'ск'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
внный;['▁в', 'нный'];['B-TYPE', 'I-TYPE']
основа;['▁основа'];['B-TYPE']
арбузно;['▁ар', 'буз', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
bimax;['▁bi', 'max'];['B-BRAND', 'I-BRAND']
пиротехника;['▁пиро', 'техника'];['B-TYPE', 'I-TYPE']
бархатн;['▁бар', 'хат', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
карбнад;['▁кар', 'б', 'над'];['B-TYPE', 'I-TYPE', 'I-TYPE']
kotami;['▁kot', 'ami'];['B-BRAND', 'I-BRAND']
ik;['▁ik'];['O']
сухарихи;['▁су', 'хар', 'их', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
eva;['▁eva'];['O']
конверт;['▁конверт'];['B-TYPE']
грушей;['▁гру', 'шей'];['B-TYPE', 'I-TYPE']
кексы;['▁к', 'екс', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бальзамичесий;['▁ба', 'ль', 'зам', 'ич', 'еси', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сосиски&;['▁со', 'си', 'ски', '&'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
краьоаое;['▁кра', 'ьо', 'а', 'ое'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
круолистой чай;['▁кру', 'оли', 'стой', '▁чай'];['O', 'O', 'O', 'O']
сдобня;['▁с', 'доб', 'ня'];['B-TYPE', 'I-TYPE', 'I-TYPE']
творожок агуша;['▁твор', 'о', 'жок', '▁аг', 'уша'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
pegigree;['▁pe', 'gi', 'gre', 'e'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
крекеры в;['▁кре', 'кер', 'ы', '▁в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
печенье сливочное;['▁пече', 'нь', 'е', '▁с', 'ливо', 'чно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
набор доя суппа;['▁набор', '▁до', 'я', '▁суп', 'па'];['B-TYPE', 'O', 'O', 'O', 'O']
минеральная вода псыж,;['▁минерал', 'ьная', '▁вода', '▁п', 'сы', 'ж', ','];['B-TYPE', 'I-TYPE', 'B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
отвертки g;['▁от', 'верт', 'ки', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
из скумбрия;['▁из', '▁', 'ску', 'мб', 'рия'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
равиолло варени;['▁ра', 'ви', 'ол', 'ло', '▁вар', 'ени'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
хлхланд;['▁х', 'л', 'х', 'ланд'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
одноразовая посуда;['▁одно', 'раз', 'овая', '▁посуд', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
блиины;['▁', 'бли', 'ины'];['B-TYPE', 'I-TYPE', 'I-TYPE']
доместом;['▁доме', 'стом'];['B-BRAND', 'I-BRAND']
artfruit голубика;['▁art', 'fru', 'it', '▁голуб', 'ика'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
орахис;['▁о', 'рах', 'ис'];['B-TYPE', 'I-TYPE', 'I-TYPE']
батончикм;['▁ба', 'тон', 'чик', 'м'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
витебский;['▁в', 'ите', 'б', 'ский'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
вишнёвое;['▁', 'виш', 'нё', 'вое'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
kinderc;['▁kinder', 'c'];['B-BRAND', 'I-BRAND']
глазировка;['▁глаз', 'ировка'];['B-TYPE', 'I-TYPE']
муа шениня;['▁му', 'а', '▁', 'шени', 'ня'];['O', 'O', 'O', 'O', 'O']
protein;['▁protein'];['B-TYPE']
пластилниа;['▁пласт', 'ил', 'ни', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
минералкка;['▁минерал', 'к', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
махито;['▁мах', 'и', 'то'];['B-TYPE', 'I-TYPE', 'I-TYPE']
arts&crafts спич;['▁arts', '&', 'craft', 's', '▁спи', 'ч'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
соус для фунчозы;['▁со', 'ус', '▁для', '▁', 'фу', 'нчо', 'зы'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
текила стм;['▁тек', 'ила', '▁ст', 'м'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
филе бедра кури;['▁фил', 'е', '▁бед', 'ра', '▁кур', 'и'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
наполнитель для гры;['▁на', 'полни', 'тель', '▁для', '▁гр', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
филе бедра куриного;['▁фил', 'е', '▁бед', 'ра', '▁кур', 'и', 'ного'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
ovea;['▁ove', 'a'];['O', 'O']
ulker;['▁ul', 'ker'];['B-BRAND', 'I-BRAND']
гурье;['▁', 'гур', 'ье'];['B-TYPE', 'I-TYPE', 'I-TYPE']
баклажанн;['▁бак', 'ла', 'жан', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
лукумы;['▁лу', 'ку', 'мы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
celesta пергамен;['▁cele', 'sta', '▁пер', 'га', 'мен'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кремы;['▁крем', 'ы'];['B-TYPE', 'I-TYPE']
кусоч;['▁', 'кус', 'оч'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пиг;['▁пи', 'г'];['B-TYPE', 'I-TYPE']
пчёлки;['▁п', 'чё', 'лки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
оасяное;['▁о', 'а', 'ся', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
нерафинированое;['▁не', 'ра', 'фини', 'рова', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
дроджи;['▁дро', 'джи'];['B-TYPE', 'I-TYPE']
булгр;['▁бул', 'гр'];['B-TYPE', 'I-TYPE']
чай зелёный с жасмином;['▁чай', '▁', 'зе', 'лё', 'ный', '▁с', '▁жас', 'ми', 'ном'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
рожок collonil;['▁ро', 'жок', '▁collo', 'nil'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
лещ;['▁ле', 'щ'];['B-TYPE', 'I-TYPE']
пряникии;['▁пря', 'ники', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE']
овсяно;['▁о', 'вся', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
продукты диетические;['▁продукты', '▁ди', 'е', 'тические'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
подушки veros;['▁под', 'ушки', '▁vero', 's'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
гранулы с;['▁', 'гран', 'улы', '▁с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
лукумом оско;['▁лу', 'ку', 'мом', '▁о', 'ско'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
куркма;['▁кур', 'к', 'ма'];['B-TYPE', 'I-TYPE', 'I-TYPE']
напиток с желе;['▁на', 'пит', 'ок', '▁с', '▁желе'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
клетчатки;['▁', 'клет', 'чат', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
choco;['▁cho', 'co'];['B-BRAND', 'I-BRAND']
овощное ассорт;['▁овощ', 'ное', '▁ас', 'сор', 'т'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
порционные;['▁пор', 'ционные'];['B-TYPE', 'I-TYPE']
пирожен;['▁пиро', 'жен'];['B-TYPE', 'I-TYPE']
ол;['▁ол'];['O']
тартаоетки;['▁тарта', 'о', 'етки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сарафано;['▁сар', 'аф', 'ано'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тортницы;['▁то', 'рт', 'ницы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
плавленный сыр для супа;['▁плав', 'лен', 'ный', '▁сыр', '▁для', '▁су', 'па'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'O', 'O', 'O']
каша молочн;['▁каш', 'а', '▁мол', 'оч', 'н'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
чернонослив;['▁черно', 'нос', 'лив'];['B-TYPE', 'I-TYPE', 'I-TYPE']
добзики;['▁', 'доб', 'зи', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
энергия;['▁энергия'];['B-TYPE']
диета;['▁диета'];['B-TYPE']
уксус botanica;['▁у', 'кс', 'ус', '▁botani', 'ca'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
bushido;['▁bu', 'shi', 'do'];['B-BRAND', 'I-BRAND', 'I-BRAND']
индюшкин;['▁и', 'нд', 'ю', 'шки', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
яийца;['▁я', 'ий', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE']
зубочистки celesta;['▁зуб', 'о', 'чист', 'ки', '▁cele', 'sta'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
окорк;['▁око', 'рк'];['B-TYPE', 'I-TYPE']
семеяки;['▁семе', 'я', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
приправп для мяса;['▁при', 'прав', 'п', '▁для', '▁мя', 'са'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
rolsen дома;['▁rol', 'sen', '▁дома'];['B-BRAND', 'I-BRAND', 'O']
спички boyscou;['▁спи', 'чки', '▁boys', 'cou'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
выпеч;['▁вы', 'пе', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чяйц;['▁ч', 'яй', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE']
грейпфрук;['▁гре', 'й', 'п', 'ф', 'рук'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сыр топленое;['▁сыр', '▁топ', 'лено', 'е'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
молочная колбаса;['▁', 'моло', 'чная', '▁кол', 'баса'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
иваси;['▁и', 'ва', 'си'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тиски;['▁ти', 'ски'];['B-TYPE', 'I-TYPE']
orea;['▁o', 'rea'];['B-BRAND', 'I-BRAND']
дощирак;['▁до', 'щи', 'рак'];['B-BRAND', 'I-BRAND', 'I-BRAND']
освещитель;['▁осве', 'щите', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE']
ванелин;['▁', 'ване', 'лин'];['B-BRAND', 'I-BRAND', 'I-BRAND']
венские сосиски;['▁', 'вен', 'ские', '▁со', 'си', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
салыетка;['▁са', 'лы', 'етка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сок апельсиновый rich;['▁сок', '▁а', 'пель', 'син', 'овый', '▁rich'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
зажигалк;['▁за', 'жи', 'гал', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
майонезный соус;['▁май', 'о', 'нез', 'ный', '▁со', 'ус'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
сыррку;['▁сыр', 'рку'];['B-TYPE', 'I-TYPE']
яйца перепилиные;['▁яйца', '▁пере', 'п', 'или', 'ные'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
виногр;['▁вино', 'гр'];['B-TYPE', 'I-TYPE']
сырокапченая;['▁сыр', 'о', 'кап', 'че', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
круассае;['▁кру', 'ас', 'са', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
chocop;['▁cho', 'co', 'p'];['B-BRAND', 'I-BRAND', 'I-BRAND']
котлеты⁹;['▁кот', 'лет', 'ы', '9'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
халабо;['▁хал', 'або'];['B-TYPE', 'I-TYPE']
желатин spicexpe;['▁', 'жела', 'тин', '▁', 'spice', 'x', 'pe'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
assamd;['▁as', 'sam', 'd'];['B-TYPE', 'I-TYPE', 'I-TYPE']
дрожживое;['▁дро', 'ж', 'жи', 'вое'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
axe тверд;['▁a', 'xe', '▁тверд'];['B-BRAND', 'I-BRAND', 'B-TYPE']
рыба(кроме сельд;['▁рыб', 'а', '(', 'кро', 'ме', '▁се', 'льд'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
мешок для мусора;['▁ме', 'шок', '▁для', '▁', 'мус', 'ора'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
майонея;['▁май', 'оне', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE']
батон с отрк;['▁ба', 'тон', '▁с', '▁от', 'рк'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
шпрот;['▁шп', 'рот'];['B-TYPE', 'I-TYPE']
капуста белокачанная;['▁кап', 'уста', '▁бел', 'ока', 'чан', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
щеяка;['▁ще', 'яка'];['B-TYPE', 'I-TYPE']
сахир;['▁са', 'хир'];['B-TYPE', 'I-TYPE']
ботинки bri;['▁', 'бот', 'инки', '▁bri'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
дамплинши;['▁да', 'мп', 'лин', 'ши'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
овсяеые;['▁о', 'вся', 'е', 'ые'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ирис ст;['▁и', 'рис', '▁ст'];['B-TYPE', 'I-TYPE', 'B-BRAND']
