tokens;tags
['▁ди', 'мо', 'над'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁сыр', 'ов', 'яли', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁кон', 'с'];['B-TYPE', 'I-TYPE']
['▁сыр', '▁', 'твор'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'Груд', 'Ка', '▁кур', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁сок', '▁ар', 'буз'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'ег'];['O', 'O']
['▁пря', 'н', 'ник'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'BOYw', 'COU', 'T', '▁спи', 'ч'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁кол', 'баса', '▁доктор', 'ская', '▁в', '▁на', 'рез', 'ке'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁мас', 'ли', 'ны', '▁botani', 'c'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁рез', 'ина'];['B-TYPE', 'I-TYPE']
['▁банан', 'з'];['B-TYPE', 'I-TYPE']
['▁фр', 'ил', 'лис'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁к', 'вас', '▁бел', 'лини'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁у', 'кра', 'па'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Лак', 'То', 'За'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Са', 'Ше', '▁', 'GREDN', 'FI', 'EL'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁до', 'ше', 'рак'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁бе', 'дро', '▁кур', 'и', 'цы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['GOKD', 'шоколад'];['B-BRAND', 'B-TYPE']
['▁', 'соль', '▁мел', 'кая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁то', 'рт', '▁чар', 'о', 'дей', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Ван', 'Ил', 'Лин'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁her', 'bus'];['B-BRAND', 'I-BRAND']
['▁мор', 'ка', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁салат', 'н'];['B-TYPE', 'I-TYPE']
['▁Набор', '▁конф', 'ет', 'н'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁х', 'на'];['B-TYPE', 'I-TYPE']
['▁Со', 'У', 'Со'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'дер', 'ее', 'нски', '▁л', 'ком', 'ста'];['O', 'O', 'O', 'O', 'O', 'O', 'O']
['▁', 'Гур', 'Ме', '▁с', 'ли'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁с', 'лива', '▁', 'ГУР', 'М'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁хлеб', 'ная', '▁', 'ПАЛ', 'ОЧКА'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Мед', 'В'];['B-TYPE', 'I-TYPE']
['▁', 'аль', 'мете'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁ve', 'et', '▁во', 'ск'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'ВЕР', 'МИШ', 'ЕШ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁з', 'еф', 'ир', '▁в', '▁шоколад'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁ай', 'скр', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ом', 'ничка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁пече', 'е', 'ие'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁чер', 'ника', '▁', 'pa', 'pad', 'iJit', 'ri'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁стек', 'лом', 'ой', '▁I', 'Dila'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁макар', 'оны', '▁ше', 'бе'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁по', 'ми', 'бор'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁жур', 'н'];['B-TYPE', 'I-TYPE']
['▁суп', '+'];['B-TYPE', 'I-TYPE']
['▁z', 'd', 'n'];['O', 'O', 'O']
['▁а', 'пель', 'и', 'сны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁у', 'рения', ',', '▁аромат', 'за', 'ция'];['O', 'O', 'O', 'O', 'O', 'O']
['▁о', 'гур', 'цы', '▁по', '▁', 'чил', 'ийски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁Кала', 'Чик', '▁пет', 'рох', 'л'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁ка', 'стр', 'ю', 'ли', '▁gu', 'ang', 'do'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['30л', 'чай', 'Tofu'];['B-VOLUME', 'B-TYPE', 'B-BRAND']
['▁С', 'ЛИВ', 'КИ', '▁20%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT']
['▁кол', 'бас', ','];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁анти', 'септ', 'и', 'че', 'ск'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁mr', '.', 'prop', 'er'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'ю', 'сал', 'ат'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁col', 'gate'];['B-BRAND', 'I-BRAND']
['▁', 'кур', 'и', 'цы', '▁мир', 'атор'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁', 'еп', 'на', 'лы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁чи', 'п', 'сып'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ав', 'ока', 'до', '▁те', 'нде'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁со', 'во'];['B-TYPE', 'I-TYPE']
['▁glade', '▁ди', 'фф', 'у', 'зо'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Паста', '▁activ', 'i'];['B-TYPE', 'B-BRAND', 'I-BRAND']
['▁и', 'кра', '▁осе', 'тро', 'вая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁це', 'зар', 'ь', '▁салат'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁', 'конверт', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁макар', 'оны', '▁', 'Мак', 'Фа', '▁ви', 'тки'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'O', 'O']
['▁', 'пт', 'ити', 'си'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁КАР', 'ТО', 'ЕЛЬ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁лед', 'е', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ку', 'та', 'бе'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁стру', 'жка'];['B-TYPE', 'I-TYPE']
['▁САЛАМ', 'Я', 'ЧИКИ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁cy', 'ko', 'ria', '▁нос', 'ков'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'трап', 'е', 'за', '▁', 'тим', 'ь'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['1.5л', 'вода'];['B-VOLUME', 'B-TYPE']
['▁клуб', 'ника', '▁fres'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁', 'Бумаг', 'А', '▁смо', 'би'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['БЗМЖ', '400г', 'Молоко'];['B-BRAND', 'B-VOLUME', 'B-TYPE']
['▁яйца', 'п'];['B-TYPE', 'I-TYPE']
['▁кры', 'ло'];['B-TYPE', 'I-TYPE']
['▁кур', 'ица', '▁наша', '▁', 'пт', 'ичка'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁пече', 'нь', 'е', '▁сло', 'е', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁био', 'ала', 'кт'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Z', 'Лук'];['B-TYPE', 'I-TYPE']
['▁пи', 'лы'];['B-TYPE', 'I-TYPE']
['▁бей', 'с', 'бол', 'ки', ',', '▁кеп', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁кур', 'о'];['B-TYPE', 'I-TYPE']
['▁', 'сос', 'ись', 'у', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁гар', 'ни', 'ры', '▁ох', 'лаж', 'ден', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁к', 'ост'];['B-TYPE', 'I-TYPE']
['Макароны', 'Bwrilla'];['B-TYPE', 'B-BRAND']
['▁ва', 'тр'];['B-TYPE', 'I-TYPE']
['▁r', 'w'];['O', 'O']
['▁', 'було', 'чки', '▁д', 'лч', '▁хот'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁ХЛЕБ', '▁для', '▁фитнес', 'а'];['B-TYPE', 'O', 'O', 'O']
['▁', 'зон', 'ты', '▁rain', 'drop'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁поп', 'к', 'кор', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁кар', 'то', 'щу', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁tw', 'is', 'ster'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'Глаз', 'Иров'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁п', 'пом', 'ид', 'оры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁rex', 'on'];['B-BRAND', 'I-BRAND']
['▁Cerve', '▁стакан'];['B-BRAND', 'B-TYPE']
['100г', 'Viko', 'Соль'];['B-VOLUME', 'B-BRAND', 'B-TYPE']
['▁', 'сады', '▁при', 'до', 'ния'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁про', 'клад', 'ки', '▁но', 'чные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁со', 'ев', 'ый', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁семе', 'чки', '▁с', '▁', 'соль'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁салат', '▁роман', 'о'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['1I0Г', 'Вкус'];['B-VOLUME', 'B-TYPE']
['▁о', 'гур', 'цы', '▁', 'марин', 'ова', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁вет', 'ч', 'тна'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'сну', 'ще', 'г', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁спец', 'ия', '▁для', '▁кревет', 'ок'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁газ', 'ирован', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['чай', '2г'];['B-TYPE', 'B-VOLUME']
['▁Пе', 'О', 'Ец'];['B-TYPE', 'I-TYPE', 'I-TYPE']
"['▁joh', 'n', 'son', ""'"", 's', '▁пал', 'очка']";['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁конф', 'е', 'ты', '▁раз', 'вес', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁прочие', '▁на', 'пит'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁ф', 'руг', 'рут'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['сахар', 'Sula', '60г'];['B-TYPE', 'B-BRAND', 'B-VOLUME']
['▁', 'L', '&', 'M', '▁СИГАРЕТ'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
['▁', 'ку', 'кур', 'уз', 'ны', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'детска', 'я', 'во'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁оде', 'яла', '▁toga'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁масло', '▁подс'];['B-TYPE', 'O']
['▁Плав', 'Лен', 'Ный', '▁сыр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁рис', '▁про', 'пар', 'енный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁menti', 's'];['B-BRAND', 'I-BRAND']
['▁ва', 'или', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁орех', 'и', '▁кра', '▁', 'ная', '▁Цена'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'B-BRAND', 'I-BRAND', 'B-BRAND']
['▁бумаг', 'а', '▁для', '▁вып', 'ички'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁', 'rendu'];['B-BRAND', 'I-BRAND']
['▁кап', 'у', 'чина'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁mol', 'p'];['B-TYPE', 'I-TYPE']
['▁туалет', 'ная', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁СТАКАН', 'Ы', ',', '▁', 'р', 'ю', 'мк'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['соломка', '%15Г'];['B-TYPE', 'B-VOLUME']
['▁при', 'права', '▁для', '▁шаш'];['B-TYPE', 'I-TYPE', 'O', 'O']
['▁сы', 'пр'];['B-TYPE', 'I-TYPE']
['▁сухо', 'й', '▁для', '▁ко', 'шек'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁lo', 'rado', '▁', 'мас', 'ли'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁AQ', 'VA'];['B-TYPE', 'I-TYPE']
['▁сыр', 'ц'];['B-TYPE', 'I-TYPE']
['▁e', 'guar'];['O', 'O']
['▁пере', 'рц'];['B-TYPE', 'I-TYPE']
['Esonta', 'для', 'мытья', 'посуды'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁хор', 'с', '▁в', 'иск'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁у', 'кс', 'уса', '▁botani', 'c'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁бара', 'нина'];['B-TYPE', 'I-TYPE']
['▁', 'missi'];['B-BRAND', 'I-BRAND']
['▁су', 'зар', 'ики'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'хва', 'рост'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁не', 'ста', 'жен'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁на', 'по'];['B-TYPE', 'I-TYPE']
['▁вар', 'енная', '▁кол', 'баса'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'СЕЛЬ', 'ДИ', 'РЕЙ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁горя', 'г', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁коп', 'чо', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Май', 'О', 'Нез', '▁слобода'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
['▁роз', 'овый', '▁плод', 'овый'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁крыш', 'ка', '▁e', 'conta'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁если', '▁', 'Dan', 'Issijo'];['O', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁спи', 'ва'];['B-TYPE', 'I-TYPE']
['▁чи', 'з', 'кей'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁мо', 'ко'];['B-TYPE', 'I-TYPE']
['▁', 'с', 'тир', 'альных', '▁машин'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁ван', 'иль', '▁ай', 'ди'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁сем', 'яна'];['B-TYPE', 'I-TYPE']
['▁хе', 'к', '▁на', 'утил', 'ус'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁лист', 'ы'];['B-TYPE', 'I-TYPE']
['▁пи', 'ами', 'д'];['O', 'O', 'O']
['▁в', 'арен', 'ец', '▁ПЕ', 'СТРА', 'В'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'Гель', '▁', 'дл', '▁бр', 'ить', 'я'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
['▁сард', 'ины', '▁те', 'нде'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁за', 'жи', 'гал', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁МУЛЬТИ', 'ВАР', 'КА', '▁pion', 'e'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁кор', 'овка', '▁из', '▁кор'];['B-TYPE', 'I-TYPE', 'O', 'O']
['▁пом', 'нички'];['B-TYPE', 'I-TYPE']
['4I0Мл', 'MEN', 'лёд'];['B-VOLUME', 'B-BRAND', 'B-TYPE']
['▁му', 'ка', 'щ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'бли', 'нси', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Мед', 'Овые'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁се', 'рд', 'ец'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁крем', '▁бр', 'ю', 'ле'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁со', 'ки', '▁фр', 'у', 'то', '▁ня', 'ня'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
['▁мо', 'коро', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ст', 'нец'];['B-TYPE', 'I-TYPE']
['чай', 'Aknar', '250г'];['B-TYPE', 'B-BRAND', 'B-VOLUME']
['▁', 'di', 'fol'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁мор', 'ков', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁й', 'гр', 'ушки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁со', 'уса'];['B-TYPE', 'I-TYPE']
['▁жон', 'ат'];['B-TYPE', 'I-TYPE']
['▁энерг', 'е', 'тики'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁хлеб', '▁бел', 'ый', '▁на', 'рез', 'ной'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁су', 'зда', 'льская'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁кон', 'ди', 'ц', 'т', 'т', 'нер'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ТУ', 'НЦЕ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['Geass', 'Для', 'Мытья', 'Посуды'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁с', 'доб', 'ня'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁KOTA', 'NYI', '▁Вас', 'А'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'РИС', '▁селян', 'очка'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁venne', 'to'];['B-BRAND', 'I-BRAND']
['1.', '5Л', 'квас'];['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['▁баг', 'на', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁СЕЛЯН', 'ОВКА'];['B-TYPE', 'I-TYPE']
['▁кур', 'и', 'нная', '▁груд', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁пи', 'нце', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁н', 'ф', '▁подс', 'веч', 'ник'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁со', 'жа'];['B-BRAND', 'I-BRAND']
['▁me', 'ller'];['B-BRAND', 'I-BRAND']
['▁е', 'арт', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'чан', '▁', 'рам', 'ён'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁чи', 'пси'];['B-BRAND', 'I-BRAND']
['▁САМ', 'ЦА'];['B-TYPE', 'I-TYPE']
['▁банан', 'ав', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁пар', 'фэ', '▁ван', 'ил', 'ьный'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁р', 'тик'];['O', 'O']
['▁тарта', 'дет', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁со', 'да', '▁ТЕ', 'НДЕ'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁хлор', 'ка'];['B-TYPE', 'I-TYPE']
['▁кле', 'енка'];['B-TYPE', 'I-TYPE']
['15%', 'сметана'];['B-PERCENT', 'B-TYPE']
['▁стол', 'ы', '▁', 'Сад', 'Овы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['440г', 'соль'];['B-VOLUME', 'B-TYPE']
['▁чай', 'ники', '▁электрическ', 'и'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁ми', 'ска', '▁н'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁ч', 'к', 'до'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁пере', 'ч'];['B-TYPE', 'I-TYPE']
['▁ГРАНАТ', 'А', '▁те', 'нде'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁о', 'ас', 'соль', 'ник'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁art', 'fru', 'it', '▁НЕ', 'КТАР', 'ИН'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ав', 'уша'];['O', 'O']
['▁', 'газета'];['B-TYPE', 'I-TYPE']
['▁', 'ТУШ', 'КА', '▁кур', 'и', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁средство', '▁для'];['B-TYPE', 'O']
['▁ПЕС', 'О', 'ЛЮК'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'owe', 'a'];['O', 'O', 'O']
['▁', 'белы'];['B-TYPE', 'I-TYPE']
['▁сыр', '▁', 'дор', '▁', 'блю'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁бол', 'гар', 'ский', '▁пере', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁це', 'зар', 'ь', 'э'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁nu', 'tela'];['B-BRAND', 'I-BRAND']
['▁кори', 'цы'];['B-TYPE', 'I-TYPE']
['tltbit', 'ДЛЯ', 'СОБАК', '95г'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁чай', '▁а', 'зер', 'чай'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Шоколад', '0'];['B-TYPE', 'I-TYPE']
['▁ОРЕХ', 'ОВЫЙ', '▁ба', 'тон', 'чик'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ke', 'ano', '▁плав'];['B-BRAND', 'I-BRAND', 'B-TYPE']
['▁МОР', 'КОВ', 'Ь', '▁ПО', '-', 'КОР', 'ЕЙ', 'С'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ша', 'спи', 'ньо', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁мя', 'со', '▁че', 'сно', 'е', '▁слова'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁', 'МИ', 'ЦЕ', 'ЛЯ', 'О', 'НАЯ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁каш', 'ка', '▁для', '▁сна'];['B-TYPE', 'I-TYPE', 'O', 'O']
['▁консерв', 'ы', '▁Рыб', 'Ные'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁ван', 'ил', 'ьный', '▁ре', 'стор'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁к', 'ек'];['B-TYPE', 'I-TYPE']
['▁', 'орех', 'и,', '▁се', 'мен'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['мороженое', '15%'];['B-TYPE', 'B-PERCENT']
['▁му', 'сс', '▁', 'velle'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
