tokens;tags;sample
['▁sa', 'har', '▁на', '▁110', '▁g'];['B-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];sahar на 110 g
['▁са', 'лом', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];саломки
['▁ай', 'б', 'к', 'рг'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];айбкрг
['▁', 'ват', 'руш', 'еп'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ватрушеп
['▁бу', 'ма', 'ж', 'ная', '▁ска', 'тер', 'ть'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];бумажная скатерть
['▁10', '▁г', '▁jogurt', 'y'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];10 г jogurty
['▁81', 'Г', '▁чи', 'п', 'сы'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];81Г чипсы
['▁чай', '▁', 'зе', 'лё', 'ный', '▁с', '▁жас', 'ми', 'ном'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];чай зелёный с жасмином
['▁тарта', 'лини'];['B-TYPE', 'I-TYPE'];тарталини
['▁кр', 'ё', 'кер'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крёкер
['▁чай'];['B-TYPE'];чай
['▁сла', 'дун', 'т', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сладунтца
['▁кре', 'кер', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крекера
['▁тем', 'то', '▁для', '▁', 'пель', 'мен', 'ей'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];темто для пельменей
['▁закуски', '▁ни', '▁100', '▁мл'];['B-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];закуски ни 100 мл
['▁как', 'ао', '▁100%'];['B-TYPE', 'I-TYPE', 'B-PERCENT'];какао 100%
['▁фр', 'ика', 'дель'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фрикадель
['▁пом', 'дор', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];помдоры
['▁пря', 'ники', '▁м', 'ят', 'ные'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];пряники мятные
['▁ми', 'со'];['B-TYPE', 'I-TYPE'];мисо
['▁ле', 'чо', '8'];['B-TYPE', 'I-TYPE', 'I-TYPE'];лечо8
['▁школа', '▁от', '▁бар', 'ни', '▁85', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];школа от барни 85 Г
['▁шп', 'рот', '▁те', 'нд'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];шпрот тенд
['▁', 'карбон', 'ад'];['B-TYPE', 'I-TYPE', 'I-TYPE'];карбонад
['▁смета', '▁вкус', '▁10', '▁%'];['B-TYPE', 'B-BRAND', 'B-PERCENT', 'I-PERCENT'];▁ смета ▁ вкус ▁10 %
['▁', 'вани', 'лин', '▁dr', '.', 'o', 'et', 'ker'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];ванилин dr.oetker
['▁дар', 'ено', '-', 'коп', 'че', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];дарено-копченая
['▁тверд', 'ый', '▁gi', 'llet'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];твердый gillet
['▁глав', 'х', 'леб', '▁чи', 'а', 'бат', 'т'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];главхлеб чиабатт
['▁', 'гов'];['B-TYPE', 'I-TYPE'];гов
['▁реп', 'чат', 'ый', '▁', 'лук'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];репчатый лук
['▁чи', 'п', 'сы', '▁120', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];чипсы 120г
['▁пу', 'динг', 'и', '▁а', '.', 'рост', 'а', 'гро', 'ком', 'п', 'лек'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];пудинги а.ростагрокомплек
['▁о', '▁С', 'ОК', '▁sad', 'U'];['O', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];о ▁СОК sadU
['▁све', 'кла', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE'];свеклаа
['▁', 'пил', 'очка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пилочка
['▁skid', 'ki', '▁ne', 'deli', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];skidki nedeli 200г
['▁по', 'и', 'чье'];['B-TYPE', 'I-TYPE', 'I-TYPE'];поичье
['▁лед', 'ден', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ледденцы
['▁С', 'ЫР', 'НЫ', 'Е', '▁С', 'НЕ', 'КИ', '▁100', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];СЫРНЫЕ СНЕКИ 100г
['▁при', '▁', 'marmelad', '▁16%'];['O', 'B-TYPE', 'I-TYPE', 'B-PERCENT'];при marmelad 16%
['▁су', 'лугун', 'и', '▁zor'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];сулугуни zor
['▁све', 'чей'];['B-TYPE', 'I-TYPE'];свечей
['▁', 'ов', 'зя', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];овзяное
['▁сыр', 'о', 'коп', 'че', 'ная', '▁fi', 'al', 'co'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];сырокопченая fialco
['▁сыр', 'о', 'коп', 'чена', '▁столичн', 'ая'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];сырокопчена столичная
['▁пет', 'руш', 'ки', '▁хор'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];петрушки хор
['▁с', 'ливо', 'вид', 'н', 'в', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сливовиднвн
['▁со', 'ки', '▁900', '▁ml'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];соки 900 ml
['▁конф', 'ет', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];конфетны
['▁кре', 'нде', 'лек'];['B-TYPE', 'I-TYPE', 'I-TYPE'];кренделек
['▁Ме', '▁60', '▁почему'];['B-TYPE', 'B-VOLUME', 'O'];▁ Ме ▁ 60 почему
['▁бр', 'ин', 'ья'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бринья
['▁полу', 'твер', 'ды', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];полутвердый
['▁бур', 'ый', '▁ри'];['B-TYPE', 'I-TYPE', 'B-TYPE'];бурый ри
['▁сы', 'око', 'че', 'ный'];['O', 'O', 'O', 'O'];сыокоченый
['▁сло', 'енный'];['B-TYPE', 'I-TYPE'];слоенный
['▁palm', 'o', 'liv'];['B-BRAND', 'I-BRAND', 'I-BRAND'];palmoliv
['▁бул', 'й', 'он'];['B-TYPE', 'I-TYPE', 'I-TYPE'];булйон
['▁мар', 'ме', 'лад', '▁31', 'y', 'м', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];мармелад 31yмл
['▁За', 'мо', 'рож', 'енные', '▁Б', 'лю', 'да', '▁4', 'T', '5', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];Замороженные Блюда 4T5г
['▁', 'теля', 'тин', '▁мор', 'ожен', 'не'];['O', 'O', 'O', 'O', 'O', 'O'];телятин мороженне
['▁голуб', 'и'];['B-TYPE', 'I-TYPE'];голуби
['▁су', 'хар', 'и', '▁для', '▁су', 'па'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];сухари для супа
['▁пле', 'сос', 'ов'];['B-TYPE', 'I-TYPE', 'I-TYPE'];плесосов
['▁май', 'о', 'нез', 'ный', '▁со', 'ус'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];майонезный соус
['▁рис', '▁плов'];['B-TYPE', 'B-TYPE'];рис плов
['▁кот', 'лет', 'ы', '▁750', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];котлеты 750 g
['▁МА', 'КА', 'РО', 'НЫ', '▁5', '▁К', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];МАКАРОНЫ 5 Кг
['▁пл', 'име', 'ы'];['O', 'O', 'O'];плимеы
['▁па', 'штет', '▁с', '▁', 'инде', 'й', 'кой'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];паштет с индейкой
['▁ну', 'тк', 'лл'];['B-TYPE', 'I-TYPE', 'I-TYPE'];нутклл
['▁вод', 'рос', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE'];водросль
['▁овощ', 'и', '▁1', 'sht'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];овощи 1sht
['▁ми', 'нд'];['B-TYPE', 'I-TYPE'];минд
['▁сви', 'кло'];['B-TYPE', 'I-TYPE'];свикло
['▁кот', 'лет', 'ы', '▁для', '▁', 'гам', 'бург', 'ера'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];котлеты для гамбургера
['▁кре', 'кер', '▁в'];['B-TYPE', 'I-TYPE', 'B-BRAND'];крекер в
['▁бу', 'жение'];['B-TYPE', 'I-TYPE'];бужение
['▁Для', '▁Со', 'бак', '▁350', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Для Собак 350г
['▁ки', 'сло', '▁с', 'лад'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];кисло слад
['▁je', 've', 'a'];['B-BRAND', 'I-BRAND', 'I-BRAND'];jevea
['▁молоко', '▁су', 'х'];['B-TYPE', 'B-TYPE', 'I-TYPE'];молоко сух
['▁бумаг', 'а', '▁80', '▁Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];бумага 80 Л
['▁pir', 'ina'];['B-BRAND', 'I-BRAND'];pirina
['▁блок', 'нот', '▁экс'];['B-TYPE', 'I-TYPE', 'B-BRAND'];блокнот экс
['▁сте', 'пле', 'ры', '▁berlin'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];степлеры berlin
['▁мо', 'рож', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE'];морожное
['▁ски', 'ф', '▁голуб', 'цы'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];скиф голубцы
['▁мо', 'о', 'эл', 'око'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];мооэлоко
['▁я', 'чне'];['B-TYPE', 'I-TYPE'];ячне
['▁с', 'тир', 'альный', '▁поро', 'шок', '▁', 'ари', 'эль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];стиральный порошок ариэль
['▁об', 'лепи'];['B-TYPE', 'I-TYPE'];облепи
['▁пр', '!', 'ст', '▁сол', 'ом', 'ка'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];пр!ст соломка
['▁е', 'ук', 'уру', 'за'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];еукуруза
['▁мало', 'еж'];['B-TYPE', 'I-TYPE'];малоеж
['▁прост', 'ын', 'я', '▁ja', 'rdi'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];простыня jardi
['▁frukt', 'y', '▁300', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];frukty 300g
['▁маска', '▁', 'дл', '▁ног'];['B-TYPE', 'O', 'O', 'O'];маска дл ног
['▁Тест', 'о', '▁195', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Тесто 195g
['▁ку', 'кур', 'узи'];['B-TYPE', 'I-TYPE', 'I-TYPE'];кукурузи
['▁то', 'рт', '▁по', 'ляр', 'ный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];торт полярный
['▁баг', 'ета'];['B-TYPE', 'I-TYPE'];багета
['▁ие', 'дей', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];иедейка
['▁сад', 'овый', '▁инвентар', 'ь'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];садовый инвентарь
['▁ж', 'ва', 'чка', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];жвачка 200г
['▁не', 'моло', 'е', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];немолоео
['▁dekor', '▁d', 'lja', '▁doma', '▁1', 'Ш', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];dekor dlja doma 1Шт
['▁а', 'гуш'];['B-BRAND', 'I-BRAND'];агуш
['▁', 'фри', 'тю', 'нца'];['O', 'O', 'O', 'O'];фритюнца
['▁пере', 'ц', '▁мол', 'от', 'ый'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];перец молотый
['▁chi', 'ka'];['B-BRAND', 'I-BRAND'];chika
['▁кор', 'зин', 'очка', '▁коли', 'бр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];корзиночка колибр
['▁сухо', 'фр', 'к', 'к', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сухофрккты
['▁кара', 'мель', 'н', 'ве'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];карамельнве
['▁ма', 'коро', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];макороны
['▁шам', 'пан', 'ское', '▁совет', 'ское'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];шампанское советское
['▁мой', '▁первый', '▁сала', 'тик'];['B-BRAND', 'B-BRAND', 'B-BRAND', 'I-BRAND'];мой первый салатик
['▁сыр', '▁бел'];['B-TYPE', 'B-TYPE'];сыр бел
['▁Гри', 'бы', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Грибы 200г
['▁mas', 'lo', '▁1.8', '▁л', '▁весь'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];maslo 1.8 л весь
['▁col', 'date'];['B-BRAND', 'I-BRAND'];coldate
['▁укр', 'оп', '▁пет', 'руш', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];укроп петрушка
['▁', 'смет', 'нав'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сметнав
['▁мор', 'ок', 'рв', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];морокрвка
['▁недорого', '▁круп', 'ы', '▁700', 'г'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];недорого крупы 700г
['▁ме', 'шки', '▁для', '▁за', 'пека', 'ния'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'O', 'O', 'O'];мешки для запекания
['▁gal'];['B-BRAND'];gal
['▁семе', 'ч', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE'];семечг
['▁T', '00', '▁М', 'л', '▁по', 'х', 'рус', 'те', 'ть', '▁под', '▁сериал'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];T00 Мл похрустеть под сериал
['▁май', 'о', 'нез', '▁g', '60', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];майонез g60г
"['▁poh', 'rust', 'et', ""▁'"", '▁pod', '▁seri', 'Z', 'l', '▁1.0', '88', 'л']";['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];pohrustet ' pod seriZl 1.088л
['▁бел', 'из', 'ну'];['B-TYPE', 'I-TYPE', 'I-TYPE'];белизну
['▁пере', 'пе', 'ли', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];перепелиный
['▁', 'инде', 'йки', '▁ох', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];индейки охл
['▁lu', 'tik', '▁ку', 'ку', 'ру', 'за'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];lutik кукуруза
['▁е', 'ар', 'то', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];еартошка
['▁кап', 'уста', '▁со', 'лё', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];капуста солёная
['▁му', 'ка', '▁рис'];['B-TYPE', 'I-TYPE', 'B-TYPE'];мука рис
['▁рис', '▁кругл', 'о', 'зер', 'ый'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];рис круглозерый
['▁вод', 'ка', '▁ол', 'им'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];водка олим
['▁сахар', '▁будут', '▁90', '▁г'];['B-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];сахар будут 90 г
['▁смета', '▁10%'];['B-TYPE', 'B-PERCENT'];▁смета ▁10%
['▁кар', 'ица'];['B-BRAND', 'I-BRAND'];карица
['▁vs', 'ja', '▁got', 'ova', 'ja', '▁e', 'da', '▁W', '20', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];vsja gotovaja eda W20г
['▁бумаг', 'а', '▁6', '▁шт'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];бумага 6 шт
['▁пере', 'я', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE'];переяц
['▁було', 'чки', '▁для', '▁', 'бург', 'ерге', 'ра'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];булочки для бургергера
['▁масло', '▁с', 'ливо', 'чно', 'е', '▁ир', 'бит', 'ское'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];масло сливочное ирбитское
['▁меди'];['B-TYPE'];меди
['▁', 'сель', 'лер', 'ей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сельлерей
['▁то', 'ника'];['B-TYPE', 'I-TYPE'];тоника
['▁фитнес', '-', 'а', 'кс', 'есс', 'у', 'ар'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];фитнес-аксессуар
['▁ял', '▁ле', 'ор', 'д', 'м'];['O', 'O', 'O', 'O', 'O'];ял леордм
['▁лист', 'ы', '▁для', '▁груд', 'ки'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];листы для грудки
['▁па', 'на', 'мы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];панамы
['▁', 'дё', 'ше', 'во', '▁смета', 'на', '▁1.9', '47', '▁л'];['O', 'O', 'O', 'O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];дёшево сметана 1.947 л
['▁завтра', 'ки', '▁200', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];завтраки 200g
['▁пиро', 'г'];['B-TYPE', 'I-TYPE'];пирог
['▁liber', 'haus', '▁салат', 'ни', 'ко'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];liberhaus салатнико
['▁а', 'а', 'ель', 'син', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ааельсиновый
['▁отдых', '▁700', '▁мл'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];отдых 700 мл
['▁тр', 'ю', 'фе', 'ли'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];трюфели
['▁клуб', 'ника'];['B-TYPE', 'I-TYPE'];клубника
['▁', 'аци', 'до', 'фил', 'ьный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ацидофильный
['▁', 'ы', '▁плен', 'ь'];['O', 'O', 'O', 'O'];ы плень
['▁', 'кок', 'тк', 'й', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кокткйль
['▁ос'];['O'];ос
['▁', 'пель', 'мени', '▁оста', 'нки', 'нски', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пельмени останкинские
['▁х', 'л', 'п', 'б'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];хлпб
['▁мол', 'ле', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE'];моллео
['▁га', 'ш', 'ировка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];гашировка
['▁100', '▁г', '▁М', 'яс', 'ные'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];100 г Мясные
['▁масло', '▁с'];['B-TYPE', 'O'];масло с
['▁гор', 'ро', 'шек'];['B-TYPE', 'I-TYPE', 'I-TYPE'];горрошек
['▁для', '▁собак', '▁20', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];для собак 20г
['▁на', 'пале', 'он'];['B-BRAND', 'I-BRAND', 'I-BRAND'];напалеон
['▁чер', 'ры'];['B-TYPE', 'I-TYPE'];черры
['▁', 'лан', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ланч
['▁газ', '▁li'];['B-TYPE', 'B-VOLUME'];▁ газ ▁ li
['▁кор', 'ю', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];корюшка
['▁мен', 'том'];['B-TYPE', 'I-TYPE'];ментом
['▁радио', '-', 'телефон', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];радио-телефоны
['▁гре', 'й', 'п', 'фр', 'у', 'том'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];грейпфрутом
['▁26', '7', 'Г', '▁пря', 'ники'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];267Г пряники
['▁МЕ', '▁60'];['B-TYPE', 'B-VOLUME'];▁ МЕ ▁ 60
['▁й', 'о', 'гур', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];йогурк
['▁каш', 'а', '▁мульти', 'з', 'лак', 'овая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];каша мультизлаковая
['▁масло', '▁с', 'ливо', 'чно', 'е', '▁72'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];масло сливочное 72
['▁16%', '▁з', 'еф', 'ир'];['B-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE'];16% зефир
['▁гу', 'ава'];['B-TYPE', 'I-TYPE'];гуава
['▁dis', 'ney', '▁з', 'еф', 'ир'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];disney зефир
['▁210', 'г', '▁салат', 'ы'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];210г салаты
['▁без', 'лак', 'то', 'з', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];безлактозный
['▁пиво', '▁470', 'М', 'л'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];пиво 470Мл
['▁корм', '▁для'];['B-TYPE', 'O'];корм для
['▁вода', '▁не', 'газ', '▁', 'рова', 'нная'];['B-TYPE', 'O', 'O', 'O', 'O', 'O'];вода негаз рованная
['▁пак', 'н', 'ты', '▁для', '▁', 'ль', 'да'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];пакнты для льда
['▁дра', 'ж'];['B-TYPE', 'I-TYPE'];драж
['▁ай', 'сь', 'ер', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];айсьерг
['▁на', 'полни', 'тель', '▁до', 'я', '▁', 'ло', 'тка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];наполнитель доя лотка
['▁пи', 'цца', '▁ас', 'сор', 'ти'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];пицца ассорти
['▁Ку', 'х', 'ня', '▁', '588', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Кухня 588 Г
['▁блок', 'но'];['B-TYPE', 'I-TYPE'];блокно
['▁корм', '▁К', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];▁ корм Кг
['▁Макар', 'оны', '▁350', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Макароны 350г
['▁спец', 'ия', '▁для', '▁плов', 'а'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];специя для плова
['▁и', 'кра', '▁себя', '▁w', '80', 'г'];['B-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];икра себя w80г
['▁ли', 'вер', 'ная', '▁кол', 'баса'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];ливерная колбаса
['▁жок', 'ей'];['B-BRAND', 'I-BRAND'];жокей
